client_id,company_name,industry,region,company_size,plan_type,sales_rep,csm_assigned,contract_signed_date,onboarding_start_date,onboarding_complete_date,days_to_onboard,onboarding_status,sla_met_14_days,onboarding_csat,contract_quarter,implementation_manager,implementation_priority,kickoff_date,go_live_date,delay_reason,integration_required,integration_type,customer_segment,go_live_status,implementation_risk
CB-1085,Stratos Group,Retail & E-commerce,Ahmedabad,Mid (51-250),Growth,S. Kapoor,N. Verma,21-Sep-2024,24-Sep-2024,11-Oct-2024,17,Completed,No,4.2,2024-Q3,Neha Patel,Medium,2024-09-24 0:00:00,2024-10-11 0:00:00,Scope Change,No,None,Mid-Market,Completed,Low
CB-1086,Skyward Systems,Healthcare,Hyderabad,Large (251+),Starter,R. Iyer,T. D'Souza,19-Jan-2026,21-Jan-2026,09-Feb-2026,19,Completed,No,3.6,2026-Q1,Priya Nair,High,2026-01-21 0:00:00,2026-02-09 0:00:00,Scope Change,No,None,Mid-Market,Completed,Medium
CB-1087,Pivotal Labs,Logistics & Supply Chain,Delhi NCR,Mid (51-250),Enterprise,S. Kapoor,J. Pillai,22-Aug-2025,25-Aug-2025,25-Sep-2025,31,Completed,No,3,2025-Q3,Priya Nair,Medium,2025-08-25 0:00:00,2025-09-25 0:00:00,Customer Delay,No,None,Enterprise,Completed,High
CB-1088,Orbit Systems,Logistics & Supply Chain,Ahmedabad,Small (1-50),Starter,A. Mehta,M. Khan,20-Dec-2024,22-Dec-2024,06-Jan-2025,15,Completed,No,4.2,2024-Q4,Rahul Sharma,Low,2024-12-22 0:00:00,2025-01-06 0:00:00,Technical Issue,No,None,SMB,Completed,Medium
CB-1089,Nimbus Labs,Professional Services,Pune,Mid (51-250),Growth,K. Joshi,N. Verma,16-Sep-2025,17-Sep-2025,14-Oct-2025,27,Completed,No,4.7,2025-Q3,Rahul Sharma,High,2025-09-17 0:00:00,2025-10-14 0:00:00,Integration Delay,No,None,Enterprise,Completed,Low
CB-1090,Quantix Systems,Hospitality,Delhi NCR,Mid (51-250),Growth,V. Shah,S. Reddy,10-Dec-2024,11-Dec-2024,31-Dec-2024,20,Completed,No,3.8,2024-Q4,Karan Mehta,Low,2024-12-11 0:00:00,2024-12-31 0:00:00,Customer Delay,No,None,SMB,Completed,Medium
CB-1091,Trailmark Systems,EdTech,Pune,Mid (51-250),Starter,A. Mehta,N. Verma,05-Jan-2026,07-Jan-2026,,,Dropped,,,2026-Q1,Priya Nair,Medium,2026-01-07 0:00:00,,Missing Documents,Yes,SSO,Mid-Market,Dropped,Medium
CB-1092,Larkspur Pvt Ltd,Real Estate,Pune,Large (251+),Growth,V. Shah,T. D'Souza,12-Aug-2025,13-Aug-2025,31-Aug-2025,18,Completed,No,3.7,2025-Q3,Rahul Sharma,Medium,2025-08-13 0:00:00,2025-08-31 0:00:00,Scope Change,No,None,SMB,Completed,Low
CB-1093,Brightline Industries,Healthcare,Pune,Mid (51-250),Enterprise,V. Shah,S. Reddy,28-Jun-2025,30-Jun-2025,19-Jul-2025,19,Completed,No,2.6,2025-Q2,Karan Mehta,High,2025-06-30 0:00:00,2025-07-19 0:00:00,Technical Issue,No,None,Enterprise,Completed,High
CB-1094,Coral Industries,Healthcare,Hyderabad,Large (251+),Starter,P. Nair,T. D'Souza,29-Apr-2025,01-May-2025,16-May-2025,15,Completed,No,3.9,2025-Q2,Amit Singh,Low,2025-05-01 0:00:00,2025-05-16 0:00:00,Resource Constraint,No,None,Mid-Market,Completed,Medium
CB-1095,Veridian Ventures,Logistics & Supply Chain,Bangalore,Large (251+),Enterprise,S. Kapoor,T. D'Souza,01-Dec-2025,02-Dec-2025,04-Jan-2026,33,Completed,No,3.9,2025-Q4,Karan Mehta,Medium,2025-12-02 0:00:00,2026-01-04 0:00:00,Scope Change,Yes,HRMS,Enterprise,Completed,High
CB-1096,Summit Pvt Ltd,Real Estate,Pune,Large (251+),Enterprise,R. Iyer,S. Reddy,14-Jun-2025,15-Jun-2025,13-Jul-2025,28,Completed,No,4,2025-Q2,Priya Nair,Medium,2025-06-15 0:00:00,2025-07-13 0:00:00,Technical Issue,Yes,CRM,SMB,Completed,Low
CB-1097,Coral Solutions,FinTech,Hyderabad,Mid (51-250),Starter,S. Kapoor,M. Khan,18-Sep-2024,19-Sep-2024,02-Oct-2024,13,Completed,Yes,4,2024-Q3,Neha Patel,High,2024-09-19 0:00:00,2024-10-02 0:00:00,None,Yes,HRMS,Enterprise,Completed,Low
CB-1098,Apex Industries,Logistics & Supply Chain,Chennai,Mid (51-250),Enterprise,S. Kapoor,N. Verma,29-Oct-2024,31-Oct-2024,19-Nov-2024,19,Completed,No,4,2024-Q4,Amit Singh,High,2024-10-31 0:00:00,2024-11-19 0:00:00,Customer Delay,Yes,None,Mid-Market,Completed,High
CB-1099,Granite Enterprises,Professional Services,Hyderabad,Large (251+),Starter,A. Mehta,T. D'Souza,15-May-2026,16-May-2026,09-Jun-2026,24,Completed,No,5,2026-Q2,Karan Mehta,Medium,2026-05-16 0:00:00,2026-06-09 0:00:00,Integration Delay,No,None,Enterprise,Completed,Low
CB-1100,Larkspur Ventures,Healthcare,Ahmedabad,Small (1-50),Starter,P. Nair,M. Khan,20-Apr-2026,22-Apr-2026,16-May-2026,24,Completed,No,2.9,2026-Q2,Rahul Sharma,Medium,2026-04-22 0:00:00,2026-05-16 0:00:00,Integration Delay,No,None,Enterprise,Completed,Low
CB-1101,Larkspur Labs,Real Estate,Hyderabad,Mid (51-250),Starter,R. Iyer,T. D'Souza,07-Jan-2026,09-Jan-2026,03-Feb-2026,25,Completed,No,3.4,2026-Q1,Rahul Sharma,Low,2026-01-09 0:00:00,2026-02-03 0:00:00,Technical Issue,No,None,Mid-Market,Completed,Medium
CB-1102,Veridian Ventures,Retail & E-commerce,Delhi NCR,Mid (51-250),Starter,A. Mehta,S. Reddy,30-Mar-2025,31-Mar-2025,20-Apr-2025,20,Completed,No,4.4,2025-Q1,Neha Patel,Low,2025-03-31 0:00:00,2025-04-20 0:00:00,Customer Delay,No,None,Enterprise,Completed,Low
CB-1103,Pivotal Pvt Ltd,Professional Services,Chennai,Large (251+),Growth,S. Kapoor,S. Reddy,18-May-2026,21-May-2026,21-Jun-2026,31,Completed,No,4.6,2026-Q2,Neha Patel,High,2026-05-21 0:00:00,2026-06-21 0:00:00,Integration Delay,Yes,SSO,Mid-Market,Completed,Medium
CB-1104,Westgate Networks,Manufacturing,Delhi NCR,Mid (51-250),Enterprise,P. Nair,S. Reddy,17-Feb-2026,18-Feb-2026,25-Mar-2026,35,Completed,No,3.2,2026-Q1,Amit Singh,Medium,2026-02-18 0:00:00,2026-03-25 0:00:00,Customer Delay,No,None,Enterprise,Completed,Low
CB-1105,Stratos Group,Retail & E-commerce,Pune,Mid (51-250),Starter,A. Mehta,N. Verma,16-Jan-2026,17-Jan-2026,07-Feb-2026,21,Completed,No,3.7,2026-Q1,Priya Nair,High,2026-01-17 0:00:00,2026-02-07 0:00:00,Technical Issue,Yes,None,Enterprise,Completed,High
CB-1106,Veridian Solutions,Retail & E-commerce,Ahmedabad,Mid (51-250),Growth,S. Kapoor,S. Reddy,14-Aug-2025,16-Aug-2025,11-Sep-2025,26,Completed,No,3.9,2025-Q3,Karan Mehta,Medium,2025-08-16 0:00:00,2025-09-11 0:00:00,Resource Constraint,No,None,Enterprise,Completed,Medium
CB-1107,Quantix Pvt Ltd,Professional Services,Pune,Mid (51-250),Growth,P. Nair,T. D'Souza,05-Apr-2025,07-Apr-2025,20-Apr-2025,13,Completed,Yes,4,2025-Q2,Karan Mehta,Medium,2025-04-07 0:00:00,2025-04-20 0:00:00,None,Yes,HRMS,SMB,Completed,High
CB-1108,Cinder Solutions,Professional Services,Mumbai,Small (1-50),Starter,A. Mehta,S. Reddy,30-Sep-2024,03-Oct-2024,16-Oct-2024,13,Completed,Yes,3.8,2024-Q3,Amit Singh,Low,2024-10-03 0:00:00,2024-10-16 0:00:00,None,No,None,Mid-Market,Completed,High
CB-1109,Harborlight Solutions,FinTech,Ahmedabad,Large (251+),Enterprise,S. Kapoor,S. Reddy,17-Apr-2026,20-Apr-2026,17-May-2026,27,Completed,No,3.5,2026-Q2,Amit Singh,Medium,2026-04-20 0:00:00,2026-05-17 0:00:00,Technical Issue,No,None,Enterprise,Completed,Medium
CB-1110,Cinder Industries,Healthcare,Chennai,Mid (51-250),Growth,S. Kapoor,S. Reddy,18-Aug-2025,20-Aug-2025,,,Dropped,,,2025-Q3,Amit Singh,Low,2025-08-20 0:00:00,,Missing Documents,Yes,API,Mid-Market,Dropped,Low
CB-1111,Veridian Ventures,Logistics & Supply Chain,Bangalore,Small (1-50),Starter,S. Kapoor,T. D'Souza,31-Jan-2025,03-Feb-2025,13-Feb-2025,10,Completed,Yes,4.1,2025-Q1,Neha Patel,Medium,2025-02-03 0:00:00,2025-02-13 0:00:00,None,No,None,Mid-Market,Completed,High
CB-1112,Coral Industries,Manufacturing,Delhi NCR,Mid (51-250),Starter,P. Nair,M. Khan,02-May-2025,04-May-2025,23-May-2025,19,Completed,No,3.8,2025-Q2,Amit Singh,Medium,2025-05-04 0:00:00,2025-05-23 0:00:00,Technical Issue,Yes,SSO,Enterprise,Completed,Medium
CB-1113,Veridian Labs,Logistics & Supply Chain,Chennai,Large (251+),Enterprise,R. Iyer,S. Reddy,02-Nov-2025,04-Nov-2025,,,Dropped,,,2025-Q4,Priya Nair,High,2025-11-04 0:00:00,,Technical Issue,Yes,None,Mid-Market,Dropped,Low
CB-1114,Vertex Industries,FinTech,Hyderabad,Mid (51-250),Starter,A. Mehta,T. D'Souza,05-Jan-2025,07-Jan-2025,19-Jan-2025,12,Completed,Yes,4.3,2025-Q1,Neha Patel,High,2025-01-07 0:00:00,2025-01-19 0:00:00,None,Yes,HRMS,Enterprise,Completed,High
CB-1115,Lumen Technologies,Manufacturing,Hyderabad,Small (1-50),Starter,K. Joshi,T. D'Souza,27-Mar-2026,28-Mar-2026,27-Apr-2026,30,Completed,No,4.3,2026-Q1,Rahul Sharma,Low,2026-03-28 0:00:00,2026-04-27 0:00:00,Scope Change,Yes,ERP,SMB,Completed,Low
CB-1116,Anchor Industries,Real Estate,Ahmedabad,Mid (51-250),Enterprise,V. Shah,N. Verma,07-Feb-2026,09-Feb-2026,05-Mar-2026,24,Completed,No,4.6,2026-Q1,Amit Singh,High,2026-02-09 0:00:00,2026-03-05 0:00:00,Scope Change,No,None,Mid-Market,Completed,Low
CB-1117,Meridian Ventures,Professional Services,Mumbai,Large (251+),Growth,V. Shah,J. Pillai,18-Jan-2026,19-Jan-2026,15-Feb-2026,27,Completed,No,3.5,2026-Q1,Priya Nair,Medium,2026-01-19 0:00:00,2026-02-15 0:00:00,Missing Documents,Yes,ERP,Enterprise,Completed,Medium
CB-1118,Orbit Group,Hospitality,Chennai,Large (251+),Starter,R. Iyer,J. Pillai,02-Aug-2025,05-Aug-2025,24-Aug-2025,19,Completed,No,3.9,2025-Q3,Neha Patel,Medium,2025-08-05 0:00:00,2025-08-24 0:00:00,Scope Change,No,None,SMB,Completed,Low
CB-1119,Quantix Enterprises,Healthcare,Pune,Mid (51-250),Starter,R. Iyer,N. Verma,29-Nov-2025,01-Dec-2025,27-Dec-2025,26,Completed,No,4.5,2025-Q4,Priya Nair,Medium,2025-12-01 0:00:00,2025-12-27 0:00:00,Scope Change,No,None,SMB,Completed,High
CB-1120,Summit Enterprises,EdTech,Ahmedabad,Mid (51-250),Enterprise,V. Shah,T. D'Souza,05-Nov-2025,08-Nov-2025,11-Dec-2025,33,Completed,No,4,2025-Q4,Priya Nair,Low,2025-11-08 0:00:00,2025-12-11 0:00:00,Integration Delay,No,None,Enterprise,Completed,Medium
CB-1121,Beacon Pvt Ltd,FinTech,Bangalore,Small (1-50),Starter,R. Iyer,J. Pillai,12-Dec-2025,13-Dec-2025,01-Jan-2026,19,Completed,No,3.9,2025-Q4,Priya Nair,High,2025-12-13 0:00:00,2026-01-01 0:00:00,Scope Change,Yes,API,Mid-Market,Completed,Medium
CB-1122,Driftwood Industries,Real Estate,Delhi NCR,Mid (51-250),Growth,P. Nair,S. Reddy,13-Sep-2024,14-Sep-2024,02-Oct-2024,18,Completed,No,5,2024-Q3,Priya Nair,Medium,2024-09-14 0:00:00,2024-10-02 0:00:00,Technical Issue,Yes,API,SMB,Completed,Medium
CB-1123,Beacon Enterprises,Hospitality,Chennai,Large (251+),Enterprise,S. Kapoor,S. Reddy,22-Jul-2025,23-Jul-2025,18-Aug-2025,26,Completed,No,4.1,2025-Q3,Karan Mehta,Low,2025-07-23 0:00:00,2025-08-18 0:00:00,Customer Delay,No,None,Mid-Market,Completed,High
CB-1124,Orbit Technologies,EdTech,Chennai,Large (251+),Enterprise,R. Iyer,J. Pillai,28-Jun-2024,30-Jun-2024,20-Jul-2024,20,Completed,No,4.1,2024-Q2,Priya Nair,Medium,2024-06-30 0:00:00,2024-07-20 0:00:00,Customer Delay,No,None,Mid-Market,Completed,High
CB-1125,Granite Ventures,EdTech,Chennai,Small (1-50),Starter,P. Nair,J. Pillai,11-Sep-2025,14-Sep-2025,25-Sep-2025,11,Completed,Yes,4.4,2025-Q3,Rahul Sharma,Low,2025-09-14 0:00:00,2025-09-25 0:00:00,None,Yes,None,Enterprise,Completed,High
CB-1126,Orbit Ventures,Real Estate,Chennai,Mid (51-250),Starter,K. Joshi,S. Reddy,21-May-2025,23-May-2025,02-Jun-2025,10,Completed,Yes,3.8,2025-Q2,Priya Nair,Low,2025-05-23 0:00:00,2025-06-02 0:00:00,None,No,None,Mid-Market,Completed,High
CB-1127,Summit Enterprises,Hospitality,Chennai,Small (1-50),Starter,P. Nair,N. Verma,01-Dec-2024,03-Dec-2024,13-Dec-2024,10,Completed,Yes,3.6,2024-Q4,Priya Nair,Medium,2024-12-03 0:00:00,2024-12-13 0:00:00,None,Yes,None,SMB,Completed,Medium
CB-1128,Orbit Industries,Professional Services,Bangalore,Small (1-50),Enterprise,K. Joshi,J. Pillai,10-Oct-2024,12-Oct-2024,30-Oct-2024,18,Completed,No,3.7,2024-Q4,Amit Singh,Low,2024-10-12 0:00:00,2024-10-30 0:00:00,Resource Constraint,Yes,HRMS,SMB,Completed,Medium
CB-1129,Highline Solutions,EdTech,Chennai,Small (1-50),Starter,P. Nair,S. Reddy,07-Nov-2025,09-Nov-2025,24-Nov-2025,15,Completed,No,4.3,2025-Q4,Priya Nair,High,2025-11-09 0:00:00,2025-11-24 0:00:00,Technical Issue,No,None,Enterprise,Completed,Medium
CB-1130,Crestline Pvt Ltd,Manufacturing,Mumbai,Large (251+),Enterprise,R. Iyer,S. Reddy,30-Dec-2024,31-Dec-2024,29-Jan-2025,29,Completed,No,5,2024-Q4,Amit Singh,High,2024-12-31 0:00:00,2025-01-29 0:00:00,Integration Delay,Yes,CRM,SMB,Completed,Low
CB-1131,Orbit Networks,Logistics & Supply Chain,Bangalore,Small (1-50),Starter,S. Kapoor,T. D'Souza,28-Apr-2026,30-Apr-2026,20-May-2026,20,Completed,No,3.9,2026-Q2,Priya Nair,High,2026-04-30 0:00:00,2026-05-20 0:00:00,Customer Delay,Yes,ERP,SMB,Completed,Low
CB-1132,Lumen Labs,FinTech,Bangalore,Small (1-50),Enterprise,R. Iyer,S. Reddy,03-Nov-2025,06-Nov-2025,,,Dropped,,,2025-Q4,Priya Nair,Medium,2025-11-06 0:00:00,,Customer Delay,No,None,Enterprise,Dropped,Low
CB-1133,Brightline Technologies,Real Estate,Ahmedabad,Large (251+),Growth,A. Mehta,S. Reddy,03-Jun-2025,05-Jun-2025,24-Jun-2025,19,Completed,No,4.5,2025-Q2,Priya Nair,High,2025-06-05 0:00:00,2025-06-24 0:00:00,Technical Issue,Yes,SSO,Mid-Market,Completed,Medium
CB-1134,Cobalt Ventures,Healthcare,Bangalore,Small (1-50),Starter,R. Iyer,S. Reddy,09-Nov-2025,12-Nov-2025,07-Dec-2025,25,Completed,No,2.9,2025-Q4,Karan Mehta,Low,2025-11-12 0:00:00,2025-12-07 0:00:00,Missing Documents,Yes,API,Enterprise,Completed,High
CB-1135,Larkspur Solutions,Hospitality,Hyderabad,Mid (51-250),Enterprise,K. Joshi,S. Reddy,13-May-2024,16-May-2024,07-Jun-2024,22,Completed,No,4.3,2024-Q2,Amit Singh,Medium,2024-05-16 0:00:00,2024-06-07 0:00:00,Resource Constraint,No,None,SMB,Completed,Low
CB-1136,Lumen Ventures,EdTech,Hyderabad,Mid (51-250),Growth,K. Joshi,T. D'Souza,13-May-2026,14-May-2026,03-Jun-2026,20,Completed,No,3.1,2026-Q2,Karan Mehta,Low,2026-05-14 0:00:00,2026-06-03 0:00:00,Missing Documents,No,None,Mid-Market,Completed,High
CB-1137,Quantix Group,Real Estate,Chennai,Large (251+),Enterprise,S. Kapoor,N. Verma,04-Sep-2025,05-Sep-2025,04-Oct-2025,29,Completed,No,5,2025-Q3,Rahul Sharma,High,2025-09-05 0:00:00,2025-10-04 0:00:00,Missing Documents,Yes,None,SMB,Completed,High
CB-1138,Summit Industries,EdTech,Delhi NCR,Large (251+),Enterprise,A. Mehta,T. D'Souza,19-Feb-2026,21-Feb-2026,23-Mar-2026,30,Completed,No,3.5,2026-Q1,Rahul Sharma,High,2026-02-21 0:00:00,2026-03-23 0:00:00,Technical Issue,Yes,CRM,SMB,Completed,Low
CB-1139,Stratos Solutions,Logistics & Supply Chain,Bangalore,Mid (51-250),Growth,K. Joshi,M. Khan,10-Sep-2024,11-Sep-2024,25-Sep-2024,14,Completed,Yes,3.2,2024-Q3,Rahul Sharma,Low,2024-09-11 0:00:00,2024-09-25 0:00:00,None,Yes,CRM,Mid-Market,Completed,Low
CB-1140,Meridian Ventures,Manufacturing,Bangalore,Small (1-50),Starter,S. Kapoor,J. Pillai,07-Sep-2025,10-Sep-2025,02-Oct-2025,22,Completed,No,3.8,2025-Q3,Priya Nair,High,2025-09-10 0:00:00,2025-10-02 0:00:00,Integration Delay,Yes,ERP,SMB,Completed,Low
CB-1141,Quantix Systems,Manufacturing,Hyderabad,Mid (51-250),Growth,R. Iyer,N. Verma,09-Sep-2025,11-Sep-2025,06-Oct-2025,25,Completed,No,4.3,2025-Q3,Priya Nair,Low,2025-09-11 0:00:00,2025-10-06 0:00:00,Integration Delay,No,None,Mid-Market,Completed,High
CB-1142,Westgate Ventures,Professional Services,Pune,Small (1-50),Starter,P. Nair,J. Pillai,04-May-2026,07-May-2026,30-May-2026,23,Completed,No,3,2026-Q2,Amit Singh,Low,2026-05-07 0:00:00,2026-05-30 0:00:00,Technical Issue,No,None,Enterprise,Completed,Medium
CB-1143,Pivotal Group,FinTech,Ahmedabad,Mid (51-250),Starter,S. Kapoor,T. D'Souza,28-Oct-2025,29-Oct-2025,,,Dropped,,,2025-Q4,Amit Singh,High,2025-10-29 0:00:00,,Integration Delay,No,None,Mid-Market,Dropped,Low
CB-1144,Beacon Ventures,Retail & E-commerce,Delhi NCR,Large (251+),Enterprise,V. Shah,N. Verma,29-Aug-2025,01-Sep-2025,30-Sep-2025,29,Completed,No,4.8,2025-Q3,Rahul Sharma,High,2025-09-01 0:00:00,2025-09-30 0:00:00,Scope Change,No,None,SMB,Completed,High
CB-1145,Trailmark Systems,Logistics & Supply Chain,Pune,Mid (51-250),Growth,K. Joshi,J. Pillai,31-Mar-2025,02-Apr-2025,24-Apr-2025,22,Completed,No,3.5,2025-Q1,Rahul Sharma,Medium,2025-04-02 0:00:00,2025-04-24 0:00:00,Resource Constraint,No,None,Enterprise,Completed,Medium
CB-1146,Beacon Systems,Logistics & Supply Chain,Chennai,Mid (51-250),Growth,S. Kapoor,J. Pillai,22-May-2025,24-May-2025,08-Jun-2025,15,Completed,No,4.6,2025-Q2,Karan Mehta,Low,2025-05-24 0:00:00,2025-06-08 0:00:00,Customer Delay,No,None,SMB,Completed,High
CB-1147,Coral Pvt Ltd,Logistics & Supply Chain,Mumbai,Mid (51-250),Enterprise,V. Shah,J. Pillai,28-Sep-2025,29-Sep-2025,22-Oct-2025,23,Completed,No,4.9,2025-Q3,Neha Patel,Medium,2025-09-29 0:00:00,2025-10-22 0:00:00,Missing Documents,Yes,API,Enterprise,Completed,Medium
CB-1148,Quantix Industries,Healthcare,Delhi NCR,Large (251+),Enterprise,R. Iyer,M. Khan,07-Aug-2025,10-Aug-2025,04-Sep-2025,25,Completed,No,4.1,2025-Q3,Amit Singh,High,2025-08-10 0:00:00,2025-09-04 0:00:00,Technical Issue,No,None,Enterprise,Completed,High
CB-1149,Vertex Pvt Ltd,Healthcare,Pune,Mid (51-250),Starter,R. Iyer,S. Reddy,09-May-2024,12-May-2024,21-May-2024,9,Completed,Yes,4.3,2024-Q2,Karan Mehta,Medium,2024-05-12 0:00:00,2024-05-21 0:00:00,None,No,None,SMB,Completed,Medium
CB-1150,Beacon Labs,Retail & E-commerce,Chennai,Mid (51-250),Starter,R. Iyer,T. D'Souza,12-Mar-2026,13-Mar-2026,08-Apr-2026,26,Completed,No,4.1,2026-Q1,Karan Mehta,Medium,2026-03-13 0:00:00,2026-04-08 0:00:00,Resource Constraint,Yes,None,SMB,Completed,Low
CB-1151,Cobalt Labs,Healthcare,Ahmedabad,Small (1-50),Starter,V. Shah,T. D'Souza,14-Apr-2026,15-Apr-2026,10-May-2026,25,Completed,No,2.6,2026-Q2,Amit Singh,Medium,2026-04-15 0:00:00,2026-05-10 0:00:00,Missing Documents,No,None,Enterprise,Completed,High
CB-1152,Foxglove Industries,FinTech,Chennai,Large (251+),Enterprise,P. Nair,M. Khan,26-Nov-2024,28-Nov-2024,14-Dec-2024,16,Completed,No,3.9,2024-Q4,Neha Patel,High,2024-11-28 0:00:00,2024-12-14 0:00:00,Integration Delay,Yes,HRMS,Mid-Market,Completed,Low
CB-1153,Harborlight Networks,Hospitality,Delhi NCR,Small (1-50),Growth,V. Shah,M. Khan,18-Oct-2025,19-Oct-2025,04-Nov-2025,16,Completed,No,4.2,2025-Q4,Rahul Sharma,High,2025-10-19 0:00:00,2025-11-04 0:00:00,Technical Issue,No,None,SMB,Completed,Medium
CB-1154,Pivotal Group,Professional Services,Delhi NCR,Small (1-50),Growth,V. Shah,T. D'Souza,17-Oct-2024,18-Oct-2024,06-Nov-2024,19,Completed,No,5,2024-Q4,Karan Mehta,Low,2024-10-18 0:00:00,2024-11-06 0:00:00,Missing Documents,No,None,Mid-Market,Completed,Low
CB-1155,Driftwood Solutions,Hospitality,Pune,Small (1-50),Starter,R. Iyer,S. Reddy,24-Dec-2025,26-Dec-2025,14-Jan-2026,19,Completed,No,3.4,2025-Q4,Priya Nair,Medium,2025-12-26 0:00:00,2026-01-14 0:00:00,Resource Constraint,Yes,ERP,Enterprise,Completed,Medium
CB-1156,Meridian Industries,Manufacturing,Pune,Small (1-50),Starter,P. Nair,S. Reddy,12-Apr-2025,13-Apr-2025,29-Apr-2025,16,Completed,No,3.5,2025-Q2,Priya Nair,Low,2025-04-13 0:00:00,2025-04-29 0:00:00,Scope Change,Yes,None,SMB,Completed,Medium
CB-1157,Driftwood Labs,Manufacturing,Pune,Large (251+),Starter,V. Shah,M. Khan,17-Dec-2025,18-Dec-2025,04-Jan-2026,17,Completed,No,3.3,2025-Q4,Amit Singh,High,2025-12-18 0:00:00,2026-01-04 0:00:00,Resource Constraint,Yes,None,Mid-Market,Completed,Medium
CB-1158,Cinder Industries,EdTech,Ahmedabad,Small (1-50),Starter,K. Joshi,J. Pillai,22-Jan-2026,25-Jan-2026,16-Feb-2026,22,Completed,No,3.8,2026-Q1,Priya Nair,High,2026-01-25 0:00:00,2026-02-16 0:00:00,Missing Documents,No,None,Enterprise,Completed,High
CB-1159,Granite Labs,Real Estate,Chennai,Mid (51-250),Starter,R. Iyer,T. D'Souza,12-Feb-2026,15-Feb-2026,10-Mar-2026,23,Completed,No,3.7,2026-Q1,Amit Singh,Low,2026-02-15 0:00:00,2026-03-10 0:00:00,Technical Issue,No,None,Enterprise,Completed,Low
CB-1160,Westgate Networks,Professional Services,Mumbai,Mid (51-250),Starter,A. Mehta,T. D'Souza,16-Oct-2024,17-Oct-2024,03-Nov-2024,17,Completed,No,3.2,2024-Q4,Neha Patel,High,2024-10-17 0:00:00,2024-11-03 0:00:00,Customer Delay,No,None,SMB,Completed,High
CB-1161,Cobalt Labs,Real Estate,Delhi NCR,Large (251+),Growth,P. Nair,N. Verma,24-Apr-2026,26-Apr-2026,24-May-2026,28,Completed,No,4.7,2026-Q2,Neha Patel,Medium,2026-04-26 0:00:00,2026-05-24 0:00:00,Integration Delay,No,None,Enterprise,Completed,Medium
CB-1162,Harborlight Labs,Retail & E-commerce,Chennai,Small (1-50),Starter,A. Mehta,T. D'Souza,27-Feb-2025,01-Mar-2025,15-Mar-2025,14,Completed,Yes,4.1,2025-Q1,Amit Singh,Low,2025-03-01 0:00:00,2025-03-15 0:00:00,None,No,None,Mid-Market,Completed,High
CB-1163,Pivotal Industries,Hospitality,Delhi NCR,Small (1-50),Starter,V. Shah,N. Verma,19-Jun-2024,20-Jun-2024,01-Jul-2024,11,Completed,Yes,4.5,2024-Q2,Karan Mehta,Low,2024-06-20 0:00:00,2024-07-01 0:00:00,None,Yes,ERP,Mid-Market,Completed,Medium
CB-1164,Foxglove Industries,EdTech,Chennai,Small (1-50),Starter,A. Mehta,N. Verma,18-Oct-2025,20-Oct-2025,09-Nov-2025,20,Completed,No,4,2025-Q4,Karan Mehta,Low,2025-10-20 0:00:00,2025-11-09 0:00:00,Customer Delay,No,None,Mid-Market,Completed,Medium
CB-1165,Granite Enterprises,Real Estate,Pune,Small (1-50),Starter,K. Joshi,S. Reddy,21-Jun-2025,24-Jun-2025,07-Jul-2025,13,Completed,Yes,4,2025-Q2,Karan Mehta,Medium,2025-06-24 0:00:00,2025-07-07 0:00:00,None,Yes,CRM,Enterprise,Completed,High
CB-1166,Meridian Solutions,Manufacturing,Chennai,Large (251+),Enterprise,K. Joshi,J. Pillai,14-Mar-2026,15-Mar-2026,15-Apr-2026,31,Completed,No,4.1,2026-Q1,Amit Singh,Low,2026-03-15 0:00:00,2026-04-15 0:00:00,Resource Constraint,No,None,Enterprise,Completed,High
CB-1167,Skyward Solutions,Professional Services,Hyderabad,Small (1-50),Starter,R. Iyer,T. D'Souza,03-Mar-2026,05-Mar-2026,26-Mar-2026,21,Completed,No,3.7,2026-Q1,Amit Singh,Low,2026-03-05 0:00:00,2026-03-26 0:00:00,Resource Constraint,No,None,SMB,Completed,Medium
CB-1168,Summit Labs,Hospitality,Ahmedabad,Mid (51-250),Starter,R. Iyer,M. Khan,11-May-2025,14-May-2025,30-May-2025,16,Completed,No,2.9,2025-Q2,Amit Singh,High,2025-05-14 0:00:00,2025-05-30 0:00:00,Missing Documents,No,None,Enterprise,Completed,Medium
CB-1169,Cobalt Technologies,Professional Services,Chennai,Mid (51-250),Enterprise,K. Joshi,T. D'Souza,10-May-2026,12-May-2026,20-Jun-2026,39,Completed,No,3.3,2026-Q2,Priya Nair,Medium,2026-05-12 0:00:00,2026-06-20 0:00:00,Technical Issue,No,None,SMB,Completed,Medium
CB-1170,Beacon Systems,Logistics & Supply Chain,Ahmedabad,Mid (51-250),Starter,P. Nair,T. D'Souza,20-Apr-2025,22-Apr-2025,03-May-2025,11,Completed,Yes,3.8,2025-Q2,Karan Mehta,Medium,2025-04-22 0:00:00,2025-05-03 0:00:00,None,No,None,Enterprise,Completed,Medium
CB-1171,Larkspur Industries,EdTech,Pune,Large (251+),Growth,P. Nair,S. Reddy,24-Sep-2025,25-Sep-2025,11-Oct-2025,16,Completed,No,3.6,2025-Q3,Karan Mehta,High,2025-09-25 0:00:00,2025-10-11 0:00:00,Technical Issue,No,None,Mid-Market,Completed,High
